"Timestamp","rainfall_in_mm","rain_station"
"01/01/2025 09:00:00",13.2,"Edinburgh average"
"01/02/2025 09:00:00",3.2,"Edinburgh average"
"01/03/2025 09:00:00",0,"Edinburgh average"
"01/04/2025 09:00:00",0,"Edinburgh average"
"01/05/2025 09:00:00",0,"Edinburgh average"
"01/06/2025 09:00:00",1,"Edinburgh average"
"01/07/2025 09:00:00",2.9,"Edinburgh average"
"01/08/2025 09:00:00",0,"Edinburgh average"
"01/09/2025 09:00:00",0.7,"Edinburgh average"
"01/10/2025 09:00:00",3.1,"Edinburgh average"
"01/11/2025 09:00:00",1.1,"Edinburgh average"
"01/12/2024 09:00:00",4,"Edinburgh average"
"02/01/2025 09:00:00",0,"Edinburgh average"
"02/02/2025 09:00:00",0,"Edinburgh average"
"02/03/2025 09:00:00",0,"Edinburgh average"
"02/04/2025 09:00:00",0,"Edinburgh average"
"02/05/2025 09:00:00",0.1,"Edinburgh average"
"02/06/2025 09:00:00",6.5,"Edinburgh average"
"02/07/2025 09:00:00",11.9,"Edinburgh average"
"02/08/2025 09:00:00",0.7,"Edinburgh average"
"02/09/2025 09:00:00",2.3,"Edinburgh average"
"02/10/2025 09:00:00",4,"Edinburgh average"
"02/11/2025 09:00:00",3.7,"Edinburgh average"
"02/12/2024 09:00:00",0.1,"Edinburgh average"
"03/01/2025 09:00:00",0.9,"Edinburgh average"
"03/02/2025 09:00:00",1.8,"Edinburgh average"
"03/03/2025 09:00:00",0,"Edinburgh average"
"03/04/2025 09:00:00",0,"Edinburgh average"
"03/05/2025 09:00:00",0,"Edinburgh average"
"03/06/2025 09:00:00",2.5,"Edinburgh average"
"03/07/2025 09:00:00",1.8,"Edinburgh average"
"03/08/2025 09:00:00",7.4,"Edinburgh average"
"03/09/2025 09:00:00",5.4,"Edinburgh average"
"03/10/2025 09:00:00",19.2,"Edinburgh average"
"03/11/2025 09:00:00",4.8,"Edinburgh average"
"03/12/2024 09:00:00",2.7,"Edinburgh average"
"04/01/2025 09:00:00",0.4,"Edinburgh average"
"04/02/2025 09:00:00",4.7,"Edinburgh average"
"04/03/2025 09:00:00",0.3,"Edinburgh average"
"04/04/2025 09:00:00",0,"Edinburgh average"
"04/05/2025 09:00:00",0,"Edinburgh average"
"04/06/2025 09:00:00",0.5,"Edinburgh average"
"04/07/2025 09:00:00",0.8,"Edinburgh average"
"04/08/2025 09:00:00",0.7,"Edinburgh average"
