Timestamp,"rainfall_in_mm <- mean(rainfall_in_mm, na.rm = TRUE)",rain_station,rainfall_in_mm
Apr 2016,67.9,Edinburgh average,NA
Apr 2017,4.1,Edinburgh average,NA
Apr 2018,81.93333333333334,Edinburgh average,NA
Apr 2019,40.733333333333334,Edinburgh average,NA
Apr 2020,4.666666666666667,Edinburgh average,NA
Apr 2021,7.466666666666667,Edinburgh average,NA
Apr 2022,27.733333333333334,Edinburgh average,NA
Apr 2023,31.9,Edinburgh average,NA
Apr 2024,104.4,Edinburgh average,NA
Apr 2025,20.46666666666667,Edinburgh average,NA
Aug 2016,44.9,Edinburgh average,NA
Aug 2017,61.66666666666667,Edinburgh average,NA
Aug 2018,63.1,Edinburgh average,NA
Aug 2019,130.46666666666667,Edinburgh average,NA
Aug 2020,146.5,Edinburgh average,NA
Aug 2021,71.1,Edinburgh average,NA
Aug 2022,54.666666666666664,Edinburgh average,NA
Aug 2023,45.6,Edinburgh average,NA
Aug 2024,57.6,Edinburgh average,NA
Aug 2025,22.533333333333335,Edinburgh average,NA
Dec 2015,174.65,Edinburgh average,NA
Dec 2016,61.6,Edinburgh average,NA
Dec 2017,55.6,Edinburgh average,NA
Dec 2018,33.96666666666667,Edinburgh average,NA
Dec 2019,58.666666666666664,Edinburgh average,NA
Dec 2020,125.66666666666667,Edinburgh average,NA
Dec 2021,66.13333333333333,Edinburgh average,NA
Dec 2022,100.43333333333334,Edinburgh average,NA
Dec 2023,115.36666666666666,Edinburgh average,NA
Dec 2024,69.18333333333334,Edinburgh average,NA
Feb 2016,54.68,Edinburgh average,NA
Feb 2017,67.3,Edinburgh average,NA
Feb 2018,35.233333333333334,Edinburgh average,NA
Feb 2019,20,Edinburgh average,NA
Feb 2020,170.66666666666666,Edinburgh average,NA
Feb 2021,63.03333333333333,Edinburgh average,NA
Feb 2022,120.35,Edinburgh average,NA
Feb 2023,35.63333333333333,Edinburgh average,NA
Feb 2024,53.86666666666667,Edinburgh average,NA
Feb 2025,32.7,Edinburgh average,NA
Jan 2016,97.08,Edinburgh average,NA
Jan 2017,24.2,Edinburgh average,NA
Jan 2018,81.36666666666667,Edinburgh average,NA
Jan 2019,9.866666666666667,Edinburgh average,NA
Jan 2020,73.16666666666667,Edinburgh average,NA
Jan 2021,111.4,Edinburgh average,NA
Jan 2022,23.266666666666666,Edinburgh average,NA
Jan 2023,42.766666666666666,Edinburgh average,NA
Jan 2024,76.4,Edinburgh average,NA
Jan 2025,53.9,Edinburgh average,NA
Jul 2016,58.86666666666667,Edinburgh average,NA
Jul 2017,74.13333333333334,Edinburgh average,NA
Jul 2018,37.9,Edinburgh average,NA
Jul 2019,95.16666666666666,Edinburgh average,NA
