date,mean_value,n_cells,file,var,site,site_lat,site_lon
2025-01-01,3.551354555348259,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-02,1.2806912702114428,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-03,2.6571828358208953,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-04,2.609943446828358,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-05,1.84462939210199,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-06,3.255966262437811,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-07,1.920538907027363,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-08,1.4217195273631842,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-09,1.9845061800373134,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-10,1.4899380052860696,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-11,0.7378488417288557,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-12,9.43544970460199,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-13,11.475532493781095,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-14,10.99442241915423,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-15,11.914237406716419,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-16,10.31601270988806,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-17,9.858058341106965,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-18,6.674488883706467,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-19,5.333464513370647,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-20,7.698081856343284,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-21,7.5618635338930345,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-22,2.9600143812189055,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-23,9.078814909825871,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-24,5.954752604166667,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-25,3.9109530472636815,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
2025-01-26,4.371895405783582,201,tasmax_hadukgrid_uk_1km_day_20250101-20250131.nc,tasmax,"14 Forth St, Edinburgh",55.91174,-3.2771
